id,created_at,updated_at,senderId,receiverId,status,amount,data,description,rawInvoiceId,senderName,deadline,invoiceNo,originalInvoiceNo,isSeen,referenceNo,paidOnDate,senderIban,isObsolete,category,privateGroupId
3,2023-09-29 10:33:03.045234+00,2023-09-29 10:33:03.045234+00,,3,PAID,110.45,,Arve perioodil 01.08.2023 - 31.08.2023,,Tallinna Linnakantselei,2023-09-21,11695983583041,100111,false,6185000700302176,2023-10-01,EE437700771000968905,false,Utilities/bills,
17,2023-10-01 14:33:16.120216+00,2023-10-01 14:33:16.120216+00,10,17,UNPAID,15,,shuttles 09.8,,Dennis K,2023-11-23,11696170796117,,false,,,,false,Fitness,
21,2023-10-08 19:14:07.557929+00,2023-10-08 19:14:07.557929+00,13,21,UNPAID,16,,Puanane court fee september,,Dennis Kumar,2023-10-30,11696792447554,,false,,,,false,Fitness,5
22,2023-10-08 19:14:07.576116+00,2023-10-08 19:14:07.576116+00,14,22,UNPAID,14,,Puanane court fee september,,Dennis Kumar,2023-10-30,11696792447574,,false,,,,false,Fitness,5
23,2023-10-08 22:53:35.990728+00,2023-10-08 22:53:35.990728+00,15,23,UNPAID,7.5,,Da vinci 08.09,,Dennis K,2023-10-16,11696805615988,,false,,,,true,Food,
24,2023-10-08 22:54:47.909513+00,2023-10-08 22:54:47.909513+00,16,24,UNPAID,7.5,,Da vinci 08.09,,Dennis K,2023-10-16,11696805687907,,false,,,,false,Food,6
25,2023-10-08 22:54:47.92692+00,2023-10-08 22:54:47.92692+00,17,25,UNPAID,7.25,,Da vinci 08.09,,Dennis K,2023-10-16,11696805687925,,false,,,,false,Food,6
26,2023-10-25 12:57:38.186986+00,2023-10-25 12:57:38.186986+00,,26,PAID,79.59,,Grocery,,Olerex Tallinn Tammsaare,2023-10-15,11698238658180,027741,false,,2023-10-25,,false,Transportation,
16,2023-09-30 18:25:08.720772+00,2023-09-30 18:25:08.720772+00,,16,UNPAID,7,,,,ALEKSANDR PRIGOROVSKI,2023-10-07,21696098308718,,false,,,EE722200001105716641,false,,
18,2023-10-08 17:29:21.827503+00,2023-10-08 17:29:21.827503+00,,18,PAID,29.98,,"VÄRVI TN 12-12, TALLINN Elisa Klassik: Internet-L 150/150 august 2023, Wi-Fi teenus august 2023, Modemi (Wi-Fi, Turbo-EPON) rent august 2023",,Elisa Eesti AS,2023-09-30,11696786161822,A-44713897,false,2187028,2024-03-29,EE882200001180000796,false,Utilities/bills,
27,2024-05-19 17:28:27.545309+00,2024-05-19 17:28:27.545309+00,22,31,UNPAID,35,,nfc testing,,Dennis K,2024-05-26,11716139707530,,false,,,,false,Groceries,
28,2024-05-19 17:31:10.483843+00,2024-05-19 17:31:10.483843+00,23,32,UNPAID,29,,court fee,,Deniss I,2024-05-26,31716139870482,,false,,,,false,Fitness,
29,2024-05-19 18:33:09.406239+00,2024-05-19 18:33:09.406239+00,24,33,UNPAID,12,,some shit,,Deniss I,2024-05-26,31716143589401,,false,,,,false,Groceries,
30,2024-06-24 20:00:23.510438+00,2024-06-24 20:00:23.510438+00,25,34,UNPAID,30,,Some random money i owed you,,Dennis K,2024-07-01,11719259223508,,false,,,,false,Miscellaneous,
46,2024-08-11 19:48:35.197749+00,2024-08-11 19:48:35.197749+00,41,50,UNPAID,77,,Will work,,Dennis K,2024-08-18,11723405715195,,false,,,,false,Miscellaneous,
5,2023-09-30 15:25:16.95903+00,2023-09-30 15:25:16.95903+00,4,5,UNPAID,25,,pellow pilopinos,,Dennis K,2023-10-28,11696087516954,,false,,,,false,Food,
1,2023-09-23 17:30:02.834889+00,2023-09-23 17:30:02.834889+00,2,1,PAID,20.75,,pizza was supposed to come but didnt,,Dennis Kumar,2023-09-30,11695490202828,,false,,2023-09-30,,false,Food,
9,2023-09-30 17:33:02.431806+00,2023-09-30 17:33:02.431806+00,7,9,UNPAID,15,,zz ticket moneyy,,Ingrid K,2023-10-15,21696095182426,,false,,,,false,Transportation,
15,2023-09-30 18:00:53.987304+00,2023-09-30 18:00:53.987304+00,,15,UNPAID,28.26,,"Elektrienergia, Võrguteenus, Taastuvenergia tasu ja elektriaktsiis",,Eesti Energia AS,2023-09-18,21696096853984,588503262953,false,58815069835,,EE081010002059413005,false,Utilities/bills,
4,2023-09-30 09:23:15.227881+00,2023-09-30 09:23:15.227881+00,,4,UNPAID,729,,VOLVO S90,,Mobire Eesti AS,2023-09-15,11696065795224,2313858,false,598745,,EE307700771003663799,false,Transportation,
2,2023-09-23 17:42:20.368282+00,2023-09-23 17:42:20.368282+00,3,2,UNPAID,30,,pizza never came,,Ingrid Kumar,2023-10-02,21695490940365,,false,,,,true,Food,
10,2023-09-30 17:33:02.589622+00,2023-09-30 17:33:02.589622+00,8,10,UNPAID,15,,zz ticket moneyy,,Ingrid K,2023-10-15,21696095182585,,false,,,,false,Transportation,
31,2024-08-11 17:42:10.17908+00,2024-08-11 17:42:10.17908+00,26,35,UNPAID,35,,8.11,,Deniss I,2024-08-18,31723398130176,,false,,,,false,Fitness,
32,2024-08-11 18:48:02.768228+00,2024-08-11 18:48:02.768228+00,27,36,UNPAID,25,,11.08,,Dennis K,2024-08-18,11723402082762,,false,,,,false,Fitness,
33,2024-08-11 18:50:54.675646+00,2024-08-11 18:50:54.675646+00,28,37,UNPAID,55,,some random things,,Dennis K,2024-08-18,11723402254672,,false,,,,false,Online subscriptions,
34,2024-08-11 18:53:33.469211+00,2024-08-11 18:53:33.469211+00,29,38,UNPAID,33,,"airtel stores ",,Dennis K,2024-08-18,11723402413467,,false,,,,false,Online subscriptions,
35,2024-08-11 19:07:50.770778+00,2024-08-11 19:07:50.770778+00,30,39,UNPAID,25,,ghhhgvgg,,Dennis K,2024-08-18,11723403270768,,false,,,,false,Miscellaneous,
36,2024-08-11 19:14:31.355964+00,2024-08-11 19:14:31.355964+00,31,40,UNPAID,33.5,,"fuck this ",,Dennis K,2024-08-18,11723403671354,,false,,,,false,Miscellaneous,
37,2024-08-11 19:17:33.042269+00,2024-08-11 19:17:33.042269+00,32,41,UNPAID,337,,what the fuck,,Dennis K,2024-08-18,11723403853039,,false,,,,false,Miscellaneous,
38,2024-08-11 19:22:11.434776+00,2024-08-11 19:22:11.434776+00,33,42,UNPAID,66,,one more time with enabled,,Dennis K,2024-08-18,11723404131432,,false,,,,false,Miscellaneous,
39,2024-08-11 19:37:39.238836+00,2024-08-11 19:37:39.238836+00,34,43,UNPAID,11,,wtffff,,Dennis K,2024-08-18,11723405059237,,false,,,,false,Miscellaneous,
40,2024-08-11 19:40:14.777905+00,2024-08-11 19:40:14.777905+00,35,44,UNPAID,11,,wsjsjsjksk,,Dennis K,2024-08-18,11723405214775,,false,,,,false,Miscellaneous,
41,2024-08-11 19:41:21.57924+00,2024-08-11 19:41:21.57924+00,36,45,UNPAID,11,,ddf,,Dennis K,2024-08-18,11723405281576,,false,,,,false,Miscellaneous,
42,2024-08-11 19:41:53.068404+00,2024-08-11 19:41:53.068404+00,37,46,UNPAID,55,,rrhkjjh  vgfgnh,,Dennis K,2024-08-18,11723405313061,,false,,,,false,Miscellaneous,
43,2024-08-11 19:42:30.873012+00,2024-08-11 19:42:30.873012+00,38,47,UNPAID,11,,cfjb  ggv  ggf,,Dennis K,2024-08-18,11723405350863,,false,,,,false,Miscellaneous,
44,2024-08-11 19:43:03.443145+00,2024-08-11 19:43:03.443145+00,39,48,UNPAID,22,,this better work,,Dennis K,2024-08-18,11723405383440,,false,,,,false,Miscellaneous,
45,2024-08-11 19:45:10.993235+00,2024-08-11 19:45:10.993235+00,40,49,UNPAID,22,,"rcbvv vhb ",,Dennis K,2024-08-18,11723405510991,,false,,,,false,Miscellaneous,
47,2024-08-11 20:40:46.073492+00,2024-08-11 20:40:46.073492+00,42,51,UNPAID,150,,pugi,,Deniss I,2024-08-18,31723408846069,,false,,,,false,Miscellaneous,
48,2024-08-11 20:48:56.552538+00,2024-08-11 20:48:56.552538+00,43,52,UNPAID,25,,ttgv,,Deniss I,2024-08-18,31723409336550,,false,,,,false,Miscellaneous,
49,2024-08-11 20:49:23.826945+00,2024-08-11 20:49:23.826945+00,44,53,UNPAID,30,,pughhkk,,Deniss I,2024-08-18,31723409363824,,false,,,,false,Miscellaneous,
50,2024-08-11 20:50:21.322218+00,2024-08-11 20:50:21.322218+00,45,54,UNPAID,11,,rrgg,,Deniss I,2024-08-18,31723409421320,,false,,,,false,Miscellaneous,
51,2024-08-11 21:04:57.66609+00,2024-08-11 21:04:57.66609+00,46,55,UNPAID,22,,yyhhmm hhhh,,Deniss I,2024-08-19,31723410297663,,false,,,,false,Miscellaneous,
52,2024-09-27 15:37:56.772442+00,2024-09-27 15:37:56.772442+00,47,56,UNPAID,7.5,,toniraba trenn,,Deniss I,2024-10-04,11727451476768,,false,,,,false,Miscellaneous,
54,2024-09-27 15:57:35.994437+00,2024-09-27 15:57:35.994437+00,49,58,UNPAID,18,,strings bg 80 power,,Deniss I,2024-10-04,11727452655992,,false,,,,false,Fitness,
53,2024-09-27 15:47:59.949112+00,2024-09-27 15:47:59.949112+00,48,57,UNPAID,18,,,,Deniss I,2024-10-04,11727452079947,,false,,,,true,Miscellaneous,
